date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:47	2685/2685	---M--	200	added ('OK')	image/gif	etag:W/%22a7d-169e7c54110%22	http://192.168.0.251:7001/assets/img/spinner.gif	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/img/spinner.gif	(from http://192.168.0.251:7001/assets/css/main.css)
18:14:47	9332/9332	---M--	200	added ('OK')	application/javascript	etag:W/%222474-169e7c54110%22	http://192.168.0.251:7001/assets/js/doc.js	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/js/doc.js	(from http://192.168.0.251:7001/)
18:14:47	551/551	---M--	200	added ('OK')	image/gif	etag:W/%22227-169e7c54110%22	http://192.168.0.251:7001/assets/css/loading.gif	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/css/loading.gif	(from http://192.168.0.251:7001/assets/css/main.css)
18:14:48	31819/31819	---M--	200	added ('OK')	application/javascript	etag:W/%227c4b-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/js/bootstrap.min.js	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/js/bootstrap.min.js	(from http://192.168.0.251:7001/)
18:14:50	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224f6f-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css)
18:14:51	23320/23320	---M--	200	added ('OK')	application/font-woff	etag:W/%225b18-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css)
18:14:51	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:W/%22f5cf-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css)
18:14:52	13356/13356	---M--	200	added ('OK')	text/html	etag:W/%22342c-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.command_webapp_js_directives_CPicker.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.command_webapp_js_directives_CPicker.js.html	(from http://192.168.0.251:7001/classes/cPicker.html)
18:14:52	13437/13437	---M--	200	added ('OK')	text/html	etag:W/%22347d-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_button_copytext.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_button_copytext.js.html	(from http://192.168.0.251:7001/classes/iCopyText.html)
18:14:53	15930/15930	---M--	200	added ('OK')	text/html	etag:W/%223e3a-169e7c548e0%22	http://192.168.0.251:7001/files/temp_iiw.core_webapp_js_directives_button_exit.js.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/files/temp_iiw.core_webapp_js_directives_button_exit.js.html	(from http://192.168.0.251:7001/classes/iExit.html)
